file_name,text
frame_1,"강한 역광, 시야 매우 불량. 좌현 어선(ID:1,2), 중앙 어선(ID:0), 우현 크루즈선(ID:5) 및 보트(ID:3) 등 5척 탐지. RADAR 의존도 극히 높음."
frame_2,"좌현 어선(ID:1) 근접, 우현에 다른 어선(ID:2,4) 위치. 역광 속 다수 선박 조우로 충돌 위험 높음. CPA/TCPA 지속 감시."
frame_3,"좌현에 어선(ID:2) 극히 근접하여 통과. 역광으로 인한 급작스러운 출현으로 위험했음. 우현 어선(ID:4)은 원거리로 이동."
frame_4,"선수 우현에 어선(ID:4)과 보트(ID:3) 위치. 강한 햇빛으로 시야 제한. 수면 난반사로 소형 장애물 식별 어려움."
frame_5,"주변 위협 선박 대부분 통과. 선수 우현 원거리에 보트(ID:3) 1척만 관측. 직접적인 충돌 위험 감소."
frame_6,"전방 타선박 식별되지 않음. 단, 강한 눈부심으로 소형 선박 및 부유물 미탐지 가능성 상존. 경계 강화 및 안전 속력 유지."
frame_7,"선수 우현 원거리에 크루즈선(ID:5)과 보트(ID:3) 출현. 역광으로 정확한 동태 파악 곤란. 두 선박 간 상호작용 가능성 주시."
frame_8,"선수 우현에 보트(ID:3) 위치. 해역은 한산하나, 눈부심이 심해 소형 어선이나 장애물 식별이 어려움. 항해 주의."
frame_9,"전방 위협 요소 없음. 단, 시야 방해하는 눈부심은 여전함. 야간 항해 대비 항해등 점등 준비."
frame_10,"주변 타선박 없음. 역광으로 인한 시계 불량 상태 지속. 목적지까지 안전 항해를 위해 전방 및 RADAR 감시 철저."
