file_name,timestamp,my_ship,ship_id,ship_type,length,width,draft,latitude,longitude,knot,heading,bbox_x,bbox_y,bbox_width,bbox_height
frame_1,2025-09-23 16:01,0,0,Fishing,16,10,3,36.35,127.3907728,7.7,102,0.0,344.4858,117.7283,94.07684
frame_1,2025-09-23 16:01,0,1,Fishing,186,21,1,36.35,127.3835354,2.2,218,543.2227,355.1848,138.5878,68.60428
frame_1,2025-09-23 16:01,1,2,Boat,176,30,1,36.36,127.3857168,2.2,203,0.0,0.0,0.0,0.0
frame_1,2025-09-23 16:01,0,3,Boat,122,31,1,36.35,127.3804458,5.7,283,873.5704,407.3799,79.17285,19.33035
frame_1,2025-09-23 16:01,0,4,Cruise,12,38,1,36.35,127.3853263,5.7,289,281.4468,334.7205,423.8815,89.01907
frame_2,2025-09-23 16:02,0,0,Fishing,16,10,3,36.35,127.3934877,3.4,102,87.6879,363.2478,113.1038,49.40759
frame_2,2025-09-23 16:02,1,2,Boat,176,30,1,36.36,127.3858753,2.3,203,0.0,0.0,0.0,0.0
frame_2,2025-09-23 16:02,0,4,Cruise,12,38,1,36.35,127.3786282,7.3,289,725.9664,327.488,298.0336,102.0839
frame_3,2025-09-23 16:03,0,0,Fishing,16,10,3,36.34,127.3915844,7.4,102,307.4226,365.9302,70.72031,43.02124
frame_3,2025-09-23 16:03,1,2,Boat,176,30,1,36.36,127.3864555,6.6,203,0.0,0.0,0.0,0.0
frame_4,2025-09-23 16:04,1,2,Boat,176,30,1,36.36,127.3847606,2.3,203,0.0,0.0,0.0,0.0
frame_4,2025-09-23 16:04,0,3,Boat,122,31,1,36.36,127.3729786,4.7,283,926.9751,399.2928,21.02051,13.03842
frame_4,2025-09-23 16:04,0,4,Cruise,12,38,1,36.36,127.3645639,6.1,289,542.2102,354.8737,77.78351,52.61404
frame_5,2025-09-23 16:05,1,2,Boat,176,30,1,36.36,127.3812623,3.8,203,0.0,0.0,0.0,0.0
frame_5,2025-09-23 16:05,0,4,Cruise,12,38,1,36.36,127.3645944,5.5,289,0.0,339.6779,41.6861,80.06396
frame_5,2025-09-23 16:05,0,5,Fishing,51,30,3,36.36,127.3779556,5.2,0,464.2796,344.4139,181.1755,94.24802
frame_6,2025-09-23 16:06,0,0,Fishing,16,10,3,36.35,127.3698432,1.1,102,0.0,358.629,4.448425,60.40408
frame_6,2025-09-23 16:06,1,2,Boat,176,30,1,36.36,127.3806331,1.3,203,0.0,0.0,0.0,0.0
frame_6,2025-09-23 16:06,0,5,Fishing,51,30,3,36.36,127.3726088,1.7,0,505.6961,346.6836,167.3939,88.84421
frame_7,2025-09-23 16:07,1,2,Boat,176,30,1,36.36,127.3767117,1.4,203,0.0,0.0,0.0,0.0
frame_7,2025-09-23 16:07,0,5,Fishing,51,30,3,36.35,127.3694228,3.7,0,622.7665,357.541,129.5797,62.99469
frame_8,2025-09-23 16:08,1,2,Boat,176,30,1,36.34,127.3709284,1.1,203,0.0,0.0,0.0,0.0
frame_8,2025-09-23 16:08,0,5,Fishing,51,30,3,36.34,127.3708057,7.2,0,340.1103,282.5469,407.0995,241.5431
frame_9,2025-09-23 16:09,1,2,Boat,176,30,1,36.34,127.3731635,2.3,203,0.0,0.0,0.0,0.0
frame_10,2025-09-23 16:10,1,2,Boat,176,30,1,36.35,127.3748558,5.5,203,0.0,0.0,0.0,0.0
