date,time,stn_id,wind_direction,wind_speed,temperature,humidity,rain_day,snow_day,solar_irradiance,solar_time
2024-09-10,01:00:00,236,0,0.0,24.8,94.0,,,,
2024-09-10,02:00:00,236,0,0.0,24.8,94.0,,,,
2024-09-10,03:00:00,236,0,0.3,24.7,95.0,,,,
2024-09-10,04:00:00,236,0,0.1,24.3,97.0,,,,
2024-09-10,05:00:00,236,0,0.2,24.0,98.0,,,,
2024-09-10,06:00:00,236,0,0.1,23.9,98.0,,,,
2024-09-10,07:00:00,236,0,0.2,24.4,96.0,,,,0.1
2024-09-10,08:00:00,236,5,0.9,26.3,82.0,,,,1.0
2024-09-10,09:00:00,236,36,0.7,28.2,74.0,,,,1.0
2024-09-10,10:00:00,236,36,0.6,29.7,69.0,,,,1.0
2024-09-10,11:00:00,236,20,0.7,31.3,64.0,,,,1.0
2024-09-10,12:00:00,236,36,0.5,33.3,52.0,,,,1.0
2024-09-10,13:00:00,236,25,0.8,33.7,50.0,,,,1.0
2024-09-10,14:00:00,236,36,0.6,34.2,48.0,,,,0.8
2024-09-10,15:00:00,236,2,0.8,35.1,44.0,,,,0.9
2024-09-10,16:00:00,236,29,0.8,35.3,44.0,,,,0.8
2024-09-10,17:00:00,236,34,1.0,34.5,50.0,,,,1.0
2024-09-10,18:00:00,236,34,0.6,33.3,57.0,,,,1.0
2024-09-10,19:00:00,236,34,0.5,30.7,69.0,,,,0.4
2024-09-10,20:00:00,236,34,0.6,29.5,75.0,,,,
2024-09-10,21:00:00,236,34,0.6,28.5,79.0,,,,
2024-09-10,22:00:00,236,0,0.4,27.3,80.0,,,,
2024-09-10,23:00:00,236,34,0.5,26.6,80.0,,,,
2024-09-11,00:00:00,236,0,0.0,25.5,85.0,,,,
2024-09-11,01:00:00,236,0,0.0,25.0,89.0,,,,
2024-09-11,02:00:00,236,0,0.1,24.6,90.0,,,,
2024-09-11,03:00:00,236,0,0.1,24.9,88.0,,,,
2024-09-11,04:00:00,236,0,0.1,24.5,91.0,,,,
2024-09-11,05:00:00,236,0,0.3,24.8,90.0,,,,
2024-09-11,06:00:00,236,0,0.2,24.8,90.0,,,,
2024-09-11,07:00:00,236,0,0.3,25.2,88.0,,,,0.0
2024-09-11,08:00:00,236,5,0.5,26.4,84.0,,,,0.0
2024-09-11,09:00:00,236,0,0.3,26.4,88.0,0.1,,,0.0
2024-09-11,10:00:00,236,0,0.3,28.3,79.0,0.2,,,0.0
2024-09-11,11:00:00,236,23,0.7,29.0,79.0,0.2,,,0.0
2024-09-11,12:00:00,236,0,0.3,30.9,74.0,0.2,,,0.0
2024-09-11,13:00:00,236,34,0.7,29.1,82.0,0.4,,,0.0
2024-09-11,14:00:00,236,36,1.1,31.2,68.0,0.4,,,0.1
2024-09-11,15:00:00,236,2,0.8,32.4,64.0,0.4,,,0.1
2024-09-11,16:00:00,236,9,0.5,32.9,61.0,0.4,,,0.7
2024-09-11,17:00:00,236,14,1.5,27.9,78.0,0.4,,,0.1
2024-09-11,18:00:00,236,0,0.1,25.7,96.0,0.4,,,0.0
