Timestamp,ShipID,ShipType,Length,Width,Draft,Latitude,Longitude,Knot,heading,bbox_x,bbox_y,bbox_width,bbox_height
2025-09-22 3:01,0,Boat,294,34,1,36.354528,127.385443,98.55,50,381.5187,207.3083,270.9429,108.0947
2025-09-22 3:01,1,Boat,208,31,1,36.351902,127.387043,53.82,259,25.66019,296.1949,164.4766,47.1803
2025-09-22 3:01,2,Fishing,237,42,2,36.353396,127.386245,86.06,324,30.41043,190.5743,329.4934,332.9232
2025-09-22 3:01,3,Fishing,111,15,3,36.351866,127.386503,81.24,9.999999,15.44199,270.3571,342.613,195.6016
2025-09-22 3:01,5,Fishing,184,43,4,36.348648,127.380119,98.54,199,667.2774,337.1208,157.4776,80.68826
2025-09-22 3:02,5,Fishing,184,43,4,36.342011,127.379675,145.63,199,861.6627,352.5844,139.1557,54.0723
2025-09-22 3:03,5,Fishing,184,43,4,36.336013,127.383491,132.92,199,-55.94464,344.041,137.3885,68.77728
2025-09-22 3:04,2,Fishing,237,42,2,36.358789,127.375924,181.67,324,629.1559,349.5902,137.6934,59.22598
2025-09-22 3:05,1,Boat,208,31,1,36.360262,127.36242,122.28,259,459.7006,364.5035,36.90884,8.899506
2025-09-22 3:05,2,Fishing,237,42,2,36.356123,127.365362,234.7,324,294.8247,351.565,117.3436,55.827
2025-09-22 3:05,3,Fishing,111,15,3,36.360982,127.361008,123.69,9.999999,438.7075,362.3312,81.76587,37.29614
2025-09-22 3:07,1,Boat,208,31,1,36.346553,127.362554,184.63,259,299.1349,366.584,16.19186,7.799072
2025-09-22 3:07,3,Fishing,111,15,3,36.346937,127.361058,188.43,9.999999,311.7968,364.5521,31.12607,33.47369
2025-09-22 3:09,5,Fishing,184,43,4,36.375527,127.386497,235.31,199,490.7274,362.7883,60.02893,36.50952
