Timestamp,ShipID,ShipType,Length,Width,Draft,Latitude,Longitude,Knot,heading,bbox_x,bbox_y,bbox_width,bbox_height
2025-09-22 03:02:01,0,Boat,129,23,2,36.344102,127.376007,136.24,225,521.0713,354.094,52.13287,13.87701
2025-09-22 03:03:01,1,Cruise,94,33,3,36.343156,127.397905,112.13,138,344.7913,354.511,310.1879,65.94568
2025-09-22 03:03:01,2,Fishing,235,42,4,36.351771,127.398970,98.47,111,76.07025,355.2674,61.12305,49.45444
2025-09-22 03:04:02,1,Cruise,94,33,3,36.347571,127.401069,112.46,138,839.4028,344.8714,317.8972,87.5025
2025-09-22 03:04:02,2,Fishing,235,42,4,36.356837,127.398065,115.83,111,460.343,357.0946,72.43539,46.30948
2025-09-22 03:05:03,2,Fishing,235,42,4,36.360996,127.392186,166.88,111,500.4101,342.0671,160.6429,72.17468
2025-09-22 03:06:03,2,Fishing,235,42,4,36.362198,127.382383,216.50,111,-46.3136,295.6642,328.5404,152.0432
2025-09-22 03:07:03,0,Boat,129,23,2,36.351041,127.399431,240.27,225,105.1133,362.4086,42.78702,9.889404
2025-09-22 03:08:03,0,Boat,129,23,2,36.363484,127.400511,241.98,225,979.9108,363.0397,47.55951,9.229492
2025-09-22 03:09:04,1,Cruise,94,33,3,36.360210,127.358999,220.02,138,481.3813,362.7793,217.0591,47.45547
